,NAME,IREL_url,latitude,longitude
213,Tombouctou,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TombouctouCercle%20%28Mali%29,,
214,Vinh,,,
215,Wallis,,,
216,Yen-Bay,,,
217,Yunnan,,,
218,Zinder,,,
219,delta Tonkinois,,,
220,lac Tchad.,,,
221,île de Saint-Barthélémy,,,
222,île de Saint-Martin,,,
223,île de la Réunion,,,
224,îles Saint-Pierre,,,
225,,httpNone,,
226,,httpNone,,
227,,httpNone,,
228,,httpNone,,
229,,httpNone,,
230,,httpNone,,
231,,httpNone,,
232,,httpNone,,
233,,httpNone,,
234,,httpNone,,
235,,httpNone,,
236,,httpNone,,
237,,httpNone,,
238,,httpNone,,
239,,httpNone,,
240,,httpNone,,
241,,httpNone,,
242,,httpNone,,
243,,httpNone,,
244,,httpNone,,
245,,httpNone,,
246,,httpNone,,
247,,httpNone,,
248,,httpNone,,
249,,httpNone,,
250,,httpNone,,
251,,httpNone,,
252,,httpNone,,
253,Afrique du Nord,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
254,Afrique du Nord,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
255,Abbo ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbo%20%28Alg%C3%A9rie%29,36.8558,3.8567
256,Achkarren ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achkarren%20%28Allemagne%29,48.0675,7.6252
257,Amérique centrale',http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Am%C3%A9rique%20centrale,,
258,Anguille,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Anguille%C3%8Ele%20%28Antilles%29,,
259,Battambang/Phnom Penh,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Battambang/Phnom%20PenhVoie%20ferr%C3%A9e%20%28Cambodge%29,,
260,Bordeaux ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordeaux%20%28Gironde%20%3B%20France%29,44.8333,-0.5667
261,Esboz-Brest ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Esboz-Brest%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.8069,6.4528
262,Angkor,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AngkorProvince%20%28Cambodge%29,,
263,Poulo Canton,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Poulo%20Canton%C3%8Ele%20%28Vietnam%29,,
264,Casablanca ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Casablanca%20%28Maroc%29,33.5739,-7.6013
265,Cayenne/Inini,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cayenne/IniniVoie%20ferr%C3%A9e%20%28Guyane%20fran%C3%A7aise%29,,
266,Gondolpara,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=GondolparaQuartier%20%28Chandernagor%20%3B%20Inde%29,,
267,Ami Tcheou ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ami%20Tcheou%20%28Chine%29,23.7140,103.2682
268,Conakry/Kankan,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Conakry/KankanVoie%20ferr%C3%A9e%20%28Guin%C3%A9e%29,,
269,Aïna,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFnaCours%20d%5Ceau%20%28Gabon/R%C3%A9publique%20du%20Congo%29,,
270,Aïn Sultan ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Sultan%20%28Constantine%20%3B%20Alg%C3%A9rie%29,36.1333,4.7333
271,Aregno ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aregno%20%28Haute-Corse%20%3B%20France%29,42.5818,8.8952
272,Cabo de San Antonio ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cabo%20de%20San%20Antonio%20%28Cuba%C3%8Ele%20de%29,,
