0
Action pathogène des parasites de l'intestin
Arbeiten aus dem Kaiserlichen Gesundheitsamt
Archiv für Schiffs
Clinique chirurgicale de Rochefort
Congrès de Lisbonne
Croix Rouge
Croix-Rouge
Dr Barbe
Indian medical service
Institut Pasteur
Institut Pasteur de Weltvreden.
Journal of tropical medicine
Mission pour l'étude de la tuberculose
Recherches physico
Service administratif de la Flotte
Service de santé de la
Service de santé de la marine à Bordeaux
Services de chirurgie
Services de la Flotte armée
Société de médecine militaire française
Société de préservation contre la tuberculose
The Journal of tropical medicine
The association of military surgeons
XVe congrès international de médecine
académie royale de médecine de Belgique
congrès colonial de 1905
congrès coloniaux français
congrès international de médecine
croix-rouge
hôpital Saint-Charles
institut de pathologie navale et tropicale de Hambourg
institut des maladies infectieuses
institut pasteur
laboratoire de bactériologie
marine Anglaise
marine Néerlandaise
marine anglaise
marine néerlandaise
medical association
ministère de la
race Tho
xive congrès international de médecine
École principale du
école d'application
école d'application.
école de canonnage
école des ouvriers mécaniciens de la marine
école principale du service de santé de la marine à Bordeaux
