GPH_code,NAME,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
205.0,Ireland,1816.0,1922.0,Part of,200.0,
,Isle of Man,,,,,
5200.0,Italian Somaliland,1905.0,1936.0,Colony of,325.0,
325.0,Italy,1861.0,2020.0,Sovereign,325.0,325.0
51.0,Jamaica,1816.0,1958.0,Colony of,200.0,
3387.0,Jan Mayen,1816.0,1921.0,Discovered,3387.0,3387.0
740.0,Japan,1860.0,1945.0,Sovereign,740.0,740.0
9772.0,Jarvis Island,1889.0,1935.0,Claimed by,200.0,
,Jersey,,,Part of,200.0,
5807.0,Juan De Nova Island,1897.0,2020.0,Possession of,220.0,
450.0,Liberia,1847.0,1920.0,Sovereign (unrecognized),450.0,450.0
223.0,Liechtenstein,1867.0,1990.0,Sovereign (unrecognized),223.0,223.0
,Luxembourg,,,Sovereign,,
721.0,Macao,1816.0,1999.0,Colony of,235.0,
580.0,Madagascar,1896.0,1960.0,Colony of,220.0,
401.0,Madeira,1834.0,1976.0,Part of,235.0,
781.0,Maldives,1887.0,1965.0,Protectorate of,200.0,
338.0,Malta,1816.0,1964.0,Colony of,200.0,
565.0,Marshall Islands,1885.0,1915.0,Colony of,255.0,
66.0,Martinique,1816.0,1947.0,Colony of,220.0,
590.0,Mauritius,1816.0,1968.0,Colony of,200.0,
5812.0,Mayotte,1886.0,1975.0,Part of,581.0,
70.0,Mexico,1821.0,2020.0,Sovereign,70.0,70.0
9730.0,Midway Islands,1859.0,2020.0,Dependency of,2.0,
221.0,Monaco,1861.0,1940.0,Sovereign (unrecognized),221.0,221.0
341.0,Montenegro,1878.0,1915.0,Sovereign (unrecognized),341.0,341.0
600.0,Morocco,1912.0,1956.0,Protectorate of,220.0,
565.0,Nauru,1885.0,1915.0,Colony of,255.0,
790.0,Nepal,1816.0,1923.0,Protectorate of,200.0,
210.0,Netherlands,1816.0,1940.0,Sovereign,210.0,210.0
930.0,New Caledonia,1853.0,1946.0,Colony of,220.0,
935.0,New Hebrides Island,1906.0,1980.0,Colony of,200.0,
920.0,New Zealand,1840.0,1920.0,Colony of,200.0,
93.0,Nicaragua,1912.0,1925.0,Occupied by,2.0,
93.0,Nicaragua,1838.0,2020.0,Sovereign,93.0,93.0
,Nigeria,,,Colony of,200.0,
9253.0,Niue,1904.0,1974.0,Colony of,920.0,
9004.0,Norfolk Island,1816.0,1920.0,Colony of,200.0,
984.0,Northern Mariana Islands,1898.0,1919.0,Part of,912.0,
385.0,Norway,1905.0,1940.0,Sovereign,385.0,385.0
553.0,Nyasaland,1891.0,1953.0,Protectorate of,200.0,
698.0,Oman,1816.0,1971.0,Sovereign (unrecognized),698.0,698.0
95.0,Panama,1903.0,2020.0,Sovereign,95.0,95.0
150.0,Paraguay,1816.0,2020.0,Sovereign,150.0,150.0
986.0,Pelew,1816.0,1947.0,Part of,9810.0,
630.0,Persia,1855.0,2020.0,Sovereign,630.0,630.0
135.0,Peru,1839.0,2020.0,Sovereign,135.0,135.0
840.0,Philippines,1898.0,1942.0,Colony of,2.0,
9620.0,Pitcairn,1839.0,2020.0,Colony of,200.0,
235.0,Portugal,1816.0,2020.0,Sovereign,235.0,235.0
541.0,Portuguese East Africa ,1816.0,1975.0,Colony of,235.0,
860.0,Portuguese Timor,1816.0,1942.0,Colony of,235.0,
404.0,Portuguese West Africa,1879.0,1974.0,Colony of,235.0,
6.0,Puerto Rico,1898.0,1952.0,Colony of,2.0,
585.0,Réunion,1816.0,1947.0,Colony of,220.0,
,Rhodesia,,,Colony of,200.0,
6064.0,Rio De Oro,1913.0,1956.0,Part of,602.0,
412.0,Rio Muni,1816.0,1960.0,Part of,411.0,
360.0,Rumania,1878.0,2020.0,Sovereign,360.0,360.0
365.0,Russian Federation,1816.0,2020.0,Sovereign,365.0,365.0
1067.0,Saba,1828.0,2010.0,Part of,1074.0,
56.0,Saint Lucia,1833.0,1958.0,Part of,1055.0,
57.0,Saint Vincent and the Grenadines,1833.0,1958.0,Part of,1055.0,
991.0,Samoa,1900.0,2020.0,Colony of,2.0,
331.0,San Marino,1816.0,1992.0,Sovereign (unrecognized),331.0,331.0
433.0,Senegal,1895.0,1958.0,Part of,430.0,
342.0,Serbia,1878.0,1918.0,Sovereign,342.0,342.0
591.0,Seychelles,1903.0,1976.0,Colony of,200.0,
800.0,Siam,1887.0,2020.0,Sovereign,800.0,800.0
451.0,Sierra Leone,1816.0,1961.0,Colony of,200.0,
451.0,Sierra Leone,1896.0,1961.0,Protectorate of,200.0,
830.0,Singapore,1826.0,1946.0,Part of,827.0,
940.0,Solomon Islands,1893.0,1978.0,Protectorate of,200.0,
560.0,South Africa ,1910.0,1920.0,Colony of,200.0,
9984.0,South Georgia and South Sandwich Islands,1908.0,1985.0,Part of,1163.0,
230.0,Spain,1816.0,2020.0,Sovereign,230.0,230.0
6021.0,Spanish  Morocco,1912.0,1956.0,Part of,602.0,
60.0,St. Christopher Islands,1882.0,1956.0,Part of,1063.0,
5.0,St. Thomas Island,1816.0,1917.0,Colony of,390.0,
3386.0,Svalbard,1816.0,1925.0,Discovered,3386.0,3386.0
380.0,Sweden,1816.0,2020.0,Sovereign,380.0,380.0
225.0,Switzerland,1816.0,2020.0,Sovereign,225.0,225.0
1029.0,Sydney Miquelon Island,1816.0,1985.0,Colony of,220.0,
3.0,Territory Of Alaska,1867.0,1959.0,Colony of,2.0,
4.0,Territory of Hawaii,1898.0,1960.0,Colony of,2.0,
911.0,Territory of Papua,1888.0,1920.0,Colony of,200.0,
460.0,Togo,1884.0,1916.0,Colony of,255.0,
9201.0,Tokelau,1877.0,1916.0,Protectorate of,200.0,
955.0,Tonga,1900.0,1970.0,Protectorate of,200.0,
52.0,Trinidad ,1816.0,1958.0,Colony of,200.0,
6203.0,Tripoli,1912.0,1919.0,Part of,620.0,
9603.0,Tuamotu Archipelago,1903.0,2020.0,Part of,960.0,
616.0,Tunis,1881.0,1956.0,Protectorate of,220.0,
640.0,Turkey,1816.0,2020.0,Sovereign,640.0,640.0
500.0,Uganda,1894.0,1962.0,Protectorate of,200.0,
200.0,United Kingdom,1816.0,2020.0,Sovereign,200.0,200.0
2.0,United States,1816.0,2020.0,Sovereign,2.0,2.0
165.0,Uruguay,1828.0,2020.0,Sovereign,165.0,165.0
5.0,US Virgin Islands,1816.0,1917.0,Colony of,390.0,
101.0,Venezuela,1830.0,2020.0,Sovereign,101.0,101.0
9720.0,Wake Island,1898.0,1941.0,Colony of,2.0,
9321.0,Wallis and Futuna,1887.0,1961.0,Part of,930.0,
