Coordonnees
""
""
6.2850 1.8118
34.6167 2.8000
50.1 1.8333
""
36.8558 3.8567
36.2661 7.3967
36.1714 5.2356
""
13.8300 20.8305
""
7.1557 3.3451
11.5385 41.6665
""
""
""
""
""
""
""
""
36.5435 3.8679
11.8631 79.7754
36.5390 4.3420
33.8708 35.9681
""
""
""
""
6.4495 2.3420
""
7.1812 1.9921
""
""
""
""
35.8380 0.1684
36.3395 3.8077
36.4166 1.1962
""
""
""
""
""
46.1039 0.7050
""
16.8689 -99.9014
""
5.5922 -53.8123
5.5548 -0.2000
""
""
49.0434 7.1821
""
48.0675 7.6252
36.8511 4.3804
""
""
11.2167 42.0333
11.2167 42.0333
""
8.5400 39.2680
""
""
""
""
""
""
9.0243 38.7492
""
36.6931 4.6715
49.0058 6.6128
47.7088 6.3976
47.7088 6.3976
36.2795 2.2664
12.7880 45.0195
15.6275 7.8945
""
""
""
""
""
""
""
""
8.4010 1.8990
6.5260 2.6640
35.0658 -2.1950
36.3761 4.1612
36.4663 5.2106
6.7138 2.4804
-0.7030 10.2325
""
""
""
""
27.8667 -0.2833
""
""
""
""
""
23.7167 -15.9500
16.4017 -14.3218
6.5000 1.6167
6.5000 1.6167
37.0333 6.4456
36.2610 2.2201
34.2990 65.8435
""
36.8444 3.9872
6.1197 1.1881
34.1128 2.1023
""
""
""
""
""
6.0400 17.6000
""
15.4150 -1.1309
""
""
""
""
""
""
""
""
""
16.9733 7.9910
16.9733 7.9910
""
""
30.4170 -9.6000
6.2047 1.4788
""
""
7.5167 1.1500
""
43.3110 3.4753
""
""
44.2021 0.6224
36.4989 1.8413
36.8022 4.3227
""
""
6.5500 1.6667
6.5500 1.6667
6.4725 1.7420
6.9967 2.0542
43.0378 -0.0706
7.9802 2.2724
6.2463 1.6762
""
6.8501 0.7208
6.8501 0.7208
41.7869 1.0986
""
35.8958 6.3956
19.4646 0.8558
6.2463 1.6762
""
34.8259 -1.5089
36.7147 7.0799
36.3909 6.1310
36.4765 2.5677
""
50.5397 7.1001
""
48.0206 -0.8694
36.5333 6.1500
43.6986 0.0842
""
""
43.5280 5.4500
47.7194 3.8911
""
45.8953 0.0114
45.5439 6.3038
46.0233 3.2031
43.5695 4.1955
43.7403 4.1811
44.3003 0.3417
46.4347 1.8297
""
50.0779 1.9947
48.8690 5.5509
49.7571 2.3637
49.9289 2.1961
49.1624 1.2428
48.8690 5.5509
43.6846 4.2092
""
36.2984 5.2945
36.2319 6.9433
""
36.3997 7.8308
36.4053 7.2694
36.0911 7.1144
36.1868 5.3135
35.8185 5.5112
35.9419 7.1875
36.9913 7.5564
36.9113 7.6772
35.6372 -0.6683
""
35.7964 7.3928
""
""
""
""
36.2933 3.6732
""
34.0099 -2.0321
""
""
36.0086 0.1872
36.2879 1.7670
36.5984 6.7508
36.3212 3.7459
36.5517 3.8063
36.7311 7.2197
35.9473 2.6023
36.2641 1.9679
36.0697 4.5493
34.8422 1.5470
36.2634 2.7846
34.8500 -1.4500
36.7760 8.6846
35.3532 1.6674
""
36.7869 8.3850
35.3640 -0.5128
36.2560 6.6118
36.1102 6.9454
""
35.1814 -1.1534
35.8081 -0.2949
35.0575 0.8843
