,ensemble,latitude,longitude,AHMC,AMN
Nouvelle-Orléans,1,29.95465,-90.07507,,1.0
Océan Indien,2,-10.0,70.0,,2.0
Océan Pacifique,2,3.5134199999999995,-132.1875,,2.0
Océanie,2,,,2.0,
Ogooué,1,-1.028,9.0865,1.0,
Orizaba,1,18.85,-97.1,1.0,
Oubangui,2,6.64,20.33,2.0,
Ouossou,1,10.0333,-13.65,1.0,
Pak-Hoi,1,21.4789,109.1213,1.0,
Pak-Hoï,1,21.4789,109.1213,1.0,
Pakhoï,1,21.4789,109.1213,1.0,
Paris,3,48.8534,2.3488,,3.0
Perse,2,32.0725,54.273,2.0,
Peyrelongue,2,43.425,-0.10400000000000001,,2.0
Philippines,1,12.0,123.0,1.0,
Phlégéton,1,,,,1.0
Phu-Lang-Thuong,2,21.2667,106.2,2.0,
Ping S'Hiang,1,13.76266,100.47798,,1.0
Ping-Shiang,1,13.76266,100.47798,1.0,
Pondichéry,5,11.93,79.83,5.0,
Port,1,,,1.0,
Port-Louis,1,47.7068,3.3538,,1.0
Port-Saïd,1,31.25654,32.28411,,1.0
Porto,1,41.149609999999996,-8.61099,1.0,
Portsmouth,1,50.8167,1.1167,,1.0
Pékin,1,39.9212,116.3914,,1.0
Rochefort,3,45.9373,0.9665,,3.0
Rufisque,1,14.7166,-17.2705,1.0,
Réunion,7,-21.114444444444,55.5325,7.0,
Saigon,1,10.813,106.6583,1.0,
Saint-Brieuc,1,48.5167,-2.7833,,1.0
Saint-Louis,4,16.0246,-16.4881,4.0,
Saint-Mandrier,1,43.066669,5.933330000000001,,1.0
Saint-Philippe,1,16.0246,-16.4881,1.0,
Saint-Pétersbourg,1,59.9175,30.2895,,1.0
Samoa,1,-14.0,-172.0,1.0,
Sasebo,1,33.16834,129.72502,,1.0
Saïgon,6,10.813,10.813,2.0,4.0
Shanghai,1,31.2298,121.4782,1.0,
Sidi-Abdallah,1,37.2744,9.8739,,1.0
Smyrne,1,38.4127,27.1384,,1.0
Somalis,1,11.5231,42.2754,1.0,
Soudan,4,13.12,30.34,4.0,
Soudan Français,1,15.515,-2.877,,1.0
Soudan français,3,15.515,-2.877,3.0,
Sumatra,1,-0.73,102.046,,1.0
Surra,1,,,1.0,
Sénégal,10,14.366667,-14.283333,8.0,2.0
Tahiti,3,-17.666666666667,-149.46666666667,3.0,
Tamatave,3,-18.15,49.4167,3.0,
Tampico,1,22.2553,-97.8686,1.0,
Tananarive,8,18.9167,47.5167,8.0,
