GPH_code,NAME,start_year,end_year,GPH_status,sovereign_GPH_code
,Saint Vincent and the Grenadines,,,,
,Samoa,,,,
,Siam,,,,
,Solomon Islands,,,,
,South Africa ,,,,
,South Georgia and South Sandwich Islands,,,,
,Spanish  Morocco,,,,
,St. Christopher Islands,,,,
,St. Thomas Island,,,,
,Svalbard,,,,
,Sydney Miquelon Island,,,,
,Territory Of Alaska,,,,
,Territory of Hawaii,,,,
,Territory of Papua,,,,
,Togo,,,,
,Tokelau,,,,
,Tonga,,,,
,Trinidad ,,,,
,Tripoli,,,,
,Tuamotu Archipelago,,,,
,Tunis,,,,
,Turkey,,,,
,United States,,,,
,US Virgin Islands,,,,
,Wake Island,,,,
,Wallis and Futuna,,,,
