0
Congrès international d'hygiène et de démographie
Institut Pasteur
Institut Pasteur de Lille
Institut Pasteur de Nha
Institut Pasteur de Paris
Institut Pasteur de Saïgon
Service de la vaccine
association médicale anglaise
hôpital colonial
laboratoire de Saint-Denis
laboratoire de bactériologie
laboratoire de microbiologie de Saint-Louis
mission Fourneau
École de médecine tropicale de Liverpool
école de médecine tropicale de Liverpool
