,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
546,372,Georgia,1816,1918,Part of,365.0
550,373,Azerbaijan,1816,1918,Part of,365.0
554,374,Transcaucasia,1816,1917,Part of,365.0
556,375,Finland,1816,1917,Part of,365.0
561,380,Sweden,1816,2020,Sovereign,
563,385,Norway,1905,1940,Sovereign,
566,390,Denmark,1816,1940,Sovereign,
569,395,Iceland,1816,1918,Colony of,390.0
576,400,Azores (Western Isles),1831,1976,Part of,235.0
579,401,Madeira Isles,1834,1976,Part of,235.0
581,402,Cape Verde,1816,1975,Colony of,235.0
583,403,Sao Tome-Principe,1816,1975,Colony of,235.0
587,404,Guinea-Bissau (Portuguese Guinea),1879,1974,Colony of,235.0
590,410,Canary Is.,1821,2020,Part of,230.0
591,411,Equatorial Guinea (Spanish Guinea),1816,1960,Colony of,230.0
594,412,Rio Muni,1816,1960,Part of,411.0
599,413,Fernando Po (Bioko),1843,1960,Part of,411.0
606,420,Gambia,1888,1965,Colony of,200.0
607,420,Gambia,1894,1965,Protectorate of,200.0
609,430,French West Africa,1895,1958,Colony of,220.0
613,432,Mali (French Sudan) (Upper Senegal and Niger),1895,1958,Part of,430.0
618,433,Senegal,1895,1958,Part of,430.0
623,434,Benin (Dahomey),1899,1958,Part of,430.0
627,435,Mauritania,1904,1920,Protectorate of,220.0
632,436,Niger,1904,1922,Occupied by,220.0
641,437,Ivory Coast,1904,1958,Part of,430.0
647,438,Guinea (French Guinea) (Rivieres du Sud),1895,1958,Part of,430.0
652,439,Burkina Faso (Upper Volta),1904,1932,Part of,432.0
660,450,Liberia,1847,1920,Sovereign (unrecognized),
662,451,Sierra Leone,1816,1961,Colony of,200.0
663,451,Sierra Leone,1896,1961,Protectorate of,200.0
669,452,Ghana (Gold Coast),1874,1957,Colony of,200.0
671,460,German Togoland,1884,1916,Colony of,255.0
679,470,Kamerun,1884,1916,Colony of,255.0
692,480,French Equatorial Africa,1910,1958,Colony of,220.0
698,481,Gabon,1910,1958,Part of,480.0
702,482,Central African Republic (Ubangi Shari),1910,1958,Part of,480.0
707,483,Chad,1910,1958,Part of,480.0
712,484,Congo (Brazzaville) (French Congo) (Middle Congo),1910,1958,Part of,480.0
717,490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),1908,1960,Colony of,211.0
720,500,Uganda,1894,1962,Protectorate of,200.0
