,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
107,343.0,"Macedonia, Former Yugoslav Republic of",1912,1993.0,Part of,345.0
108,344.0,Croatia,1816,1918.0,Part of,640.0
109,346.0,Bosnia-Herzegovina,1908,1918.0,Part of,300.0
110,347.0,Kosovo,1912,1999.0,Part of,345.0
111,349.0,Slovenia,1816,1918.0,Part of,305.0
112,350.0,Greece,1830,1941.0,Sovereign,
113,351.0,Crete,1913,2020.0,Part of,350.0
114,355.0,Bulgaria,1908,2020.0,Sovereign,
115,359.0,Moldova (Bessarabia) (Moldavian Republic),1816,1917.0,Part of,365.0
116,360.0,Romania,1878,2020.0,Sovereign,
117,365.0,Russia (USSR),1816,2020.0,Sovereign,
118,366.0,Estonia,1816,1918.0,Part of,365.0
119,367.0,Latvia,1816,1918.0,Part of,365.0
120,368.0,Lithuania,1816,1918.0,Part of,365.0
121,369.0,Ukraine,1816,1918.0,Part of,365.0
122,370.0,Belarus (Byelorussia),1816,1917.0,Part of,365.0
123,371.0,Armenia,1816,1918.0,Part of,365.0
124,372.0,Georgia,1816,1918.0,Part of,365.0
125,373.0,Azerbaijan,1816,1918.0,Part of,365.0
126,374.0,Transcaucasia,1816,1917.0,Part of,365.0
127,375.0,Finland,1816,1917.0,Part of,365.0
128,380.0,Sweden,1816,2020.0,Sovereign,
129,385.0,Norway,1905,1940.0,Sovereign,
130,390.0,Denmark,1816,1940.0,Sovereign,
131,395.0,Iceland,1816,1918.0,Colony of,390.0
132,400.0,Azores (Western Isles),1831,1976.0,Part of,235.0
133,401.0,Madeira Isles,1834,1976.0,Part of,235.0
134,402.0,Cape Verde,1816,1975.0,Colony of,235.0
135,403.0,Sao Tome-Principe,1816,1975.0,Colony of,235.0
136,404.0,Guinea-Bissau (Portuguese Guinea),1879,1974.0,Colony of,235.0
137,410.0,Canary Is.,1821,2020.0,Part of,230.0
138,411.0,Equatorial Guinea (Spanish Guinea),1816,1960.0,Colony of,230.0
139,412.0,Rio Muni,1816,1960.0,Part of,411.0
140,413.0,Fernando Po (Bioko),1843,1960.0,Part of,411.0
141,420.0,Gambia,1888,1965.0,Colony of,200.0
142,420.0,Gambia,1894,1965.0,Protectorate of,200.0
143,430.0,French West Africa,1895,1958.0,Colony of,220.0
144,432.0,Mali (French Sudan) (Upper Senegal and Niger),1895,1958.0,Part of,430.0
145,433.0,Senegal,1895,1958.0,Part of,430.0
146,434.0,Benin (Dahomey),1899,1958.0,Part of,430.0
147,435.0,Mauritania,1904,1920.0,Protectorate of,220.0
148,436.0,Niger,1904,1922.0,Occupied by,220.0
149,437.0,Ivory Coast,1904,1958.0,Part of,430.0
