,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign&dependency_GPH_code,Dependency_GPH_code
65,342,Serbia,Europe,https://www.wikidata.org/wiki/Q403,,,,,Serbia,1878.0,1918.0,Sovereign,342.0,342.0
66,350,Greece,Europe,http://www.wikidata.org/entity/Q41,,,,,Greece,1830.0,1941.0,Sovereign,350.0,350.0
67,355,Bulgaria,Europe,http://www.wikidata.org/entity/Q219,,,,,Bulgaria,1908.0,2020.0,Sovereign,355.0,355.0
68,360,Romania,Europe,http://www.wikidata.org/entity/Q218,,,,,Rumania,1878.0,2020.0,Sovereign,360.0,360.0
69,365,Russia (USSR),Europe,http://www.wikidata.org/entity/Q159,,,,,Russian Federation,1816.0,2020.0,Sovereign,365.0,365.0
70,375,Finland,Europe,http://www.wikidata.org/entity/Q33,,,,,Finland,1816.0,1917.0,Part of,365.0,
71,380,Sweden,Europe,http://www.wikidata.org/entity/Q34,,,,,Sweden,1816.0,2020.0,Sovereign,380.0,380.0
72,385,Norway,Europe,http://www.wikidata.org/entity/Q20,,,,,Norway,1905.0,1940.0,Sovereign,385.0,385.0
73,390,Denmark,Europe,http://www.wikidata.org/entity/Q35,,,,,Denmark,1816.0,1940.0,Sovereign,390.0,390.0
74,395,Iceland,Europe,http://www.wikidata.org/entity/Q189,,,,,Iceland,1816.0,1918.0,Colony of,390.0,
75,400,Azores (Western Isles),Africa,http://www.wikidata.org/entity/Q25263,,,,,Azores,1831.0,1976.0,Part of,235.0,
76,401,Madeira Isles,Africa,http://www.wikidata.org/entity/Q26253,,,,,Madeira,1834.0,1976.0,Part of,235.0,
77,402,Cape Verde,Africa,http://www.wikidata.org/entity/Q1011,,,,,Cabo Verde,1816.0,1975.0,Colony of,235.0,
78,404,Guinea-Bissau (Portuguese Guinea),Africa,http://www.wikidata.org/entity/Q2002279,http://www.wikidata.org/entity/Q1007,,,,Portuguese West Africa,1879.0,1974.0,Colony of,235.0,
79,410,Canary Island,Africa,http://www.wikidata.org/entity/Q5813,,,,,Canary Island,1821.0,2020.0,Part of,230.0,
80,412,Rio Muni,Africa,http://www.wikidata.org/entity/Q845368,,,,,Rio Muni,1816.0,1960.0,Part of,411.0,
81,432,Mali (French Sudan) (Upper Senegal and Niger),Africa,http://www.wikidata.org/entity/Q1271523,http://www.wikidata.org/entity/Q508014,http://www.wikidata.org/entity/Q912,,,French Sudan,1895.0,1958.0,Part of,220.0,
82,433,Senegal,Africa,http://www.wikidata.org/entity/Q1041,,,,,British Gambia,1895.0,1958.0,Part of,200.0,
83,438,Guinea (French Guinea) (Rivieres du Sud),Africa,http://www.wikidata.org/entity/Q4394393,http://www.wikidata.org/entity/Q797433,http://www.wikidata.org/entity/Q1006,,,Portuguese Guinea,1895.0,1958.0,Part of,235.0,
84,450,Liberia,Africa,http://www.wikidata.org/entity/Q1014,,,,,Liberia,1847.0,1920.0,Sovereign (unrecognized),450.0,450.0
85,451,Sierra Leone,Africa,http://www.wikidata.org/entity/Q1044,,,,,Sierra Leone,1816.0,1961.0,Colony of,200.0,
86,451,Sierra Leone,Africa,http://www.wikidata.org/entity/Q1044,,,,,Sierra Leone,1896.0,1961.0,Protectorate of,200.0,
87,452,Ghana (Gold Coast),Africa,http://www.wikidata.org/entity/Q117,,,,,Gold Coast,1874.0,1957.0,Colony of,200.0,
88,460,German Togoland,Africa,http://www.wikidata.org/entity/Q161062,,,,,Togo,1884.0,1916.0,Colony of,255.0,
89,470,Kamerun,Africa,http://www.wikidata.org/entity/Q668294,,,,,Cameroons,1884.0,1916.0,Colony of,255.0,
90,480,French Equatorial Africa,Africa,http://www.wikidata.org/entity/Q271894,,,,,French equatorial Africa,1910.0,1958.0,Colony of,220.0,
91,490,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Africa,http://www.wikidata.org/entity/Q974,,,,,Belgian Congo ,1908.0,1960.0,Colony of,211.0,
92,500,Uganda,Africa,http://www.wikidata.org/entity/Q1036,,,,,Uganda,1894.0,1962.0,Protectorate of,200.0,
93,501,Kenya (British East Africa Protectorate),Africa,http://www.wikidata.org/entity/Q876185,http://www.wikidata.org/entity/Q114,,,,British East Africa,1895.0,1920.0,Protectorate of,200.0,
94,510,Tanzania (Tanganyika) (German East Africa),Africa,http://www.wikidata.org/entity/Q153963,http://www.wikidata.org/entity/Q431731,http://www.wikidata.org/entity/Q924,,,German East Africa,1891.0,1916.0,Colony of,255.0,
